Mach,alpha,cr,ci,omega_i,delta_kappa,delta_q,residual_norm,accepted,parameterization,settings_name,spectral_extent,matching_y,max_step,rtol,atol,optimizer_success,optimizer_status,optimizer_message,optimizer_nfev,objective_calls,integration_failures,active_lower_ci,active_upper_ci,ci_lower,ci_upper,seed_cr,seed_ci,attempt_timestamp,purpose,source_path,source_Mach,source_alpha,source_cr,source_ci,mach_distance,anchor_score,direction,is_target,status,requested_alpha,seed_alpha,alpha_step,anchor_source_path,anchor_source_Mach,anchor_source_alpha,neutral_alpha_estimate,neutral_fit_r2,timestamp,trial_alpha,trial_step,mach_directory,mode_status,mode_gamma_mismatch_at_match,mode_numerical_extent,mode_tail_tolerance,mode_far_left,mode_far_right,mode_mu_left,mode_mu_right,mode_n_coordinates,mode_available,freeze_id,reference_status,reference_subset,reference_source_path,neutral_alpha_lower,neutral_alpha_upper,neutral_alpha_uncertainty,neutral_last_positive_ci,neutral_estimate_method,final_reference_id,_id_key,alpha_neutral_used,alpha_neutral_uncertainty_used,alpha_neutral_source,s,mach_split,is_spectral_anchor,anchor_rank,usable_as_training_anchor,charts,primary_chart,point_role,is_anchor_N24,is_anchor_N36,is_anchor_N48,is_anchor_N60,is_anchor_N76,cr_pred,ci_pred,cr_abs_error,ci_abs_error,spectral_error,omega_i_ref,omega_i_pred,omega_i_abs_error
1.6,0.125,0.3901905246635208,0.0381699312653096,0.0047712414081637,-5.859895901849654e-14,5.954091386595195e-14,8.354016053398599e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,6,31,0,False,False,0.0004879629586239,0.2,0.3492641497157056,0.0487962958623987,2026-07-23T11:45:45.420206+00:00,anchor,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,0.3492641497157056,0.0487962958623987,0.1,49.28959371217046,anchor,True,anchor_converged,0.125,0.125,0.0,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:45.428483+00:00,,,M1p600000,converged,3.170656555035067e-11,40.0,1e-06,-1617.760645131942,367.8647220886656,0.0085453714106763,0.0376739947398672,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.600000_a0.12500000,M1.600000_a0.12500000,0.255,,max_available_alpha_proxy,0.4901960784313725,train,True,1,True,C20;C21;C30;C31,C21,train_pool,True,True,True,True,True,0.3901564,0.03837793,3.4136380744898e-05,0.00020799821357414539,0.0002107808087573355,0.0047712414081637,0.004797241184860468,2.5999776696768173e-05
1.6,0.17,0.4094529707590642,0.0269908340302189,0.0045884417851372,3.5475095083725705e-14,1.4809247578240208e-13,1.522821846263072e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0002708375789786,0.2,0.4095106948912084,0.0270837578978629,2026-07-23T11:45:59.138657+00:00,continuation,,,,,,,,high,True,converged,0.17,0.165,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:45:59.150004+00:00,0.17,0.005,M1p600000,converged,4.120370693306319e-11,40.0,1e-06,-1688.534451036598,233.20723448765503,0.008190384082151,0.0595366758762462,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.600000_a0.17000000,M1.600000_a0.17000000,0.255,,max_available_alpha_proxy,0.6666666666666667,train,True,2,True,C21;C31,C21,train_pool,False,False,True,True,True,0.40952897,0.026716193,7.59999593195615e-05,0.0002746408459623449,0.0002849624327652462,0.0045884417851372135,0.0045417528413236145,4.6688943813598914e-05
1.6,0.21,0.4227059566236062,0.0149899673896267,0.0031478931518216,-4.390307561941145e-13,1.5206385196170347e-11,1.5212721608548323e-11,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0001514014146438,0.2,0.4227445961110029,0.0151401414643867,2026-07-23T11:46:03.948382+00:00,continuation,,,,,,,,high,True,converged,0.21,0.205,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.5,0.125,,,2026-07-23T11:46:03.960148+00:00,0.21,0.005,M1p600000,converged,8.484125597082162e-11,40.0,1e-06,-2466.352902733217,170.5494629569133,0.0056065120388568,0.0815128530900267,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.600000_a0.21000000,M1.600000_a0.21000000,0.255,,max_available_alpha_proxy,0.8235294117647058,train,True,3,True,C21;C22;C31;C32,C22,train_pool,True,True,True,True,True,0.42284846,0.015040582,0.00014250643486546366,5.0614656286042045e-05,0.0001512280642242663,0.003147893151821607,0.003158522229641676,1.0629077820068812e-05
1.65,0.12,0.4065514167806345,0.0347865652913392,0.0041743878349607,1.9154816621735904e-14,3.875285509158388e-14,4.322835617464107e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.000348742028951,0.2,0.4066407762490895,0.0348742028951067,2026-07-23T11:46:53.781390+00:00,continuation,,,,,,,,high,True,converged,0.12,0.115,0.0049999999999999,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:46:53.793866+00:00,0.12,0.0049999999999999,M1p650000,converged,2.0296563505631285e-11,40.0,1e-06,-1811.4260776077297,401.5502286383697,0.0076319760316246,0.0345058872995651,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.650000_a0.12000000,M1.650000_a0.12000000,0.245,,max_available_alpha_proxy,0.4897959183673469,train,True,1,True,C20;C21;C30;C31,C31,train_pool,True,True,True,True,True,0.40655452,0.034792624,3.1033495229704222e-06,6.059122627931346e-06,6.807624055574045e-06,0.004174387834960704,0.0041751149296760555,7.270947153517268e-07
1.7,0.19,0.4496598147311717,0.015115322697238,0.0028719113124752,3.799426051553922e-13,5.3976467392913285e-12,5.411002375290051e-12,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0001523840149813,0.2,0.4496988893539864,0.0152384014981351,2026-07-23T11:48:08.122868+00:00,continuation,,,,,,,,high,True,converged,0.19,0.185,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:48:08.135332+00:00,0.19,0.005,M1p700000,converged,6.963270672732506e-11,40.0,1e-06,-2588.546907829633,202.8515381084669,0.0053417178885968,0.0684543254890553,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.700000_a0.19000000,M1.700000_a0.19000000,0.24,,max_available_alpha_proxy,0.7916666666666667,train,True,1,True,C31;C32,C31,train_pool,False,False,False,True,True,0.4496163,0.015482407,4.350175051986982e-05,0.00036708436600777286,0.00036965299141982004,0.00287191131247522,0.002941657342016697,6.974602954147677e-05
1.75,0.125,0.4431955933543308,0.0268802780606886,0.003360034757586,3.625572064791528e-14,5.4808588223487226e-14,6.571498020049501e-14,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0002696308887935,0.2,0.4432611858320004,0.0269630888793536,2026-07-23T11:48:59.294628+00:00,continuation,,,,,,,,high,True,converged,0.125,0.12,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:48:59.306900+00:00,0.125,0.005,M1p750000,converged,4.675179698167413e-11,40.0,1e-06,-2159.3486813927443,393.7668639002814,0.0064031426102849,0.0351897859255113,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.750000_a0.12500000,M1.750000_a0.12500000,0.235,,max_available_alpha_proxy,0.5319148936170213,train,True,1,True,C30;C31,C31,train_pool,False,False,False,True,True,0.4431165,0.026720285,7.910728179050253e-05,0.00015999264503918642,0.00017848139538595353,0.003360034757586075,0.0033400356769561768,1.9999080629898303e-05
1.75,0.16,0.4558672879431112,0.0199785709436812,0.003196571350989,9.78939151963232e-14,3.419747124366879e-13,3.557104476658231e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0002006860517928,0.2,0.455914361251345,0.0200686051792813,2026-07-23T11:49:03.576430+00:00,continuation,,,,,,,,high,True,converged,0.16,0.155,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:49:03.588872+00:00,0.16,0.005,M1p750000,converged,6.315359561033242e-11,40.0,1e-06,-2273.579287185009,267.5095160120485,0.0060819521539235,0.0518531431774203,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.750000_a0.16000000,M1.750000_a0.16000000,0.235,,max_available_alpha_proxy,0.6808510638297873,train,True,2,True,C31,C31,train_pool,False,True,True,True,True,0.4558654,0.020733647,1.8749925954630875e-06,0.000755076104792158,0.0007550784327639951,0.0031965713509889923,0.0033173835277557373,0.000120812176766745
1.8,0.185,0.4780595779848273,0.0116887998532646,0.0021624279728539,8.20055828798516e-13,1.3521707191432863e-11,1.3546551477523482e-11,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.000118150848663,0.2,0.4780936058777331,0.0118150848663071,2026-07-23T11:49:02.849927+00:00,continuation,,,,,,,,high,True,converged,0.185,0.18,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.7,0.1,,,2026-07-23T11:49:02.861632+00:00,0.185,0.005,M1p800000,converged,2.703243853832856e-11,40.0,1e-06,-3291.5347371238995,215.6109121804689,0.0042003451388798,0.0643588681561674,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.800000_a0.18500000,M1.800000_a0.18500000,0.225,,max_available_alpha_proxy,0.8222222222222222,train,True,1,True,C31,C31,train_pool,False,False,False,True,True,0.47788125,0.011501649,0.00017832521917177102,0.00018715045863321352,0.0002585056633021457,0.002162427972853951,0.0021278051380068065,3.462283484714432e-05
1.85,0.21,0.4979600225531241,0.0035487879533637,0.0007452454702063,1.3905543383430086e-14,1.0504010855560965e-13,1.0595654081821813e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,3.5668272015569925e-05,0.2,0.4979853669173228,0.0035668272015569,2026-07-23T11:50:10.506529+00:00,continuation,,,,,,,,high,True,converged,0.21,0.205,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.8,0.08,,,2026-07-23T11:50:10.518927+00:00,0.21,0.005,M1p850000,converged,6.703408132154263e-10,40.0,1e-06,-9348.57323694318,178.09271348313976,0.0014783066774092,0.0779244520650904,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.850000_a0.21000000,M1.850000_a0.21000000,0.22,,max_available_alpha_proxy,0.9545454545454544,train,True,1,True,C31;C32,C32,train_pool,True,True,True,True,True,0.49781603,0.0030201199,0.00014399634233919212,0.0005286681000459623,0.0005479278297488397,0.0007452454702063769,0.0006342251691967249,0.00011102030100965208
1.9,0.13,0.4894770013114648,0.0186080268219635,0.0024190434868552,7.662100121041959e-14,1.37324179805276e-13,1.572536428375473e-13,True,log_ci,nominal,20.0,1.0,0.5,1e-09,1e-11,True,1.0,`gtol` termination condition is satisfied.,3,16,0,False,False,0.0001868564040447,0.2,0.4895208222075918,0.0186856404044743,2026-07-23T11:50:57.046338+00:00,continuation,,,,,,,,high,True,converged,0.13,0.125,0.005,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,1.9,0.08,,,2026-07-23T11:50:57.057483+00:00,0.13,0.005,M1p900000,converged,2.846796597416205e-11,40.0,1e-06,-2814.058563861414,386.8616855263189,0.0049130718814667,0.0358066448689223,3801.0,True,dense_kappa_q_campaign_v1_FINAL_FREEZE,retained_classical_supersonic,base_dense_campaign,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/classic_supersonic/dense_kappa_q_campaign_v1_FINAL_FREEZE/classical_supersonic_maps/classical_supersonic_dense_reference.csv,,,,,,M1.900000_a0.13000000,M1.900000_a0.13000000,0.215,,max_available_alpha_proxy,0.6046511627906977,train,True,1,True,C30;C31,C30,train_pool,True,True,True,True,True,0.48949984,0.018867187,2.283584864565258e-05,0.00025916038001327565,0.0002601645220855307,0.002419043486855255,0.002452734336256981,3.369084940172589e-05
